timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,ch_07_raw,channel_8,channel_9,sensor_id
2047-03-15 02:14:21,61.33,60.01,55.36,59.31,52.37,54.54,60.61,66.32,60.72,RADIO-7
2047-03-15 00:09:30,58.14,62.51,61.44,47.48,65.69,66.15,,60.14,48.95,RADIO-7
2047-03-15 02:11:30,50.03,62.59,70.98,63.51,69.24,64.12,63.48,69.66,63.47,RADIO-7
2047-03-15 02:11:00,65.13,64.35,52.82,55.88,56.13,65.86,61.32,,52.62,RADIO-7
2047-03-15 00:42:50,55.75,62.29,,63.55,60.12,51.93,64.56,69.89,57.69,RADIO-7
2047-03-15 00:19:20,59.79,53.61,60.52,79.46,,64.93,54.43,54.44,61.55,RADIO-7
2047-03-15 01:53:40,56.85,52.59,48.2,66.96,60.5,64.29,67.71,59.15,66.25,RADIO-7
2047-03-15 01:29:20,54.84,53.68,56.38,59.66,56.92,,76.26,54.07,52.84,RADIO-7
2047-03-15 01:07:30,63.74,54.28,49.34,63.56,64.96,68.02,55.61,47.92,55.37,RADIO-7
2047-03-15 01:08:40,50.8,65.3,70.43,54.09,58.95,49.18,55.15,60.51,52.11,RADIO-7
2047-03-15 02:41:40,60.77,65.92,59.54,56.42,71.33,53.6,56.74,50.97,48.91,RADIO-7
2047-03-15 02:54:50,68.28,65.53,57.52,58.62,56.61,53.08,64.06,64.44,50.84,RADIO-7
2047-03-15 03:10:40,58.96,47.08,68.26,69.63,62.96,61.86,48.06,68.45,,RADIO-7
2047-03-15 00:43:10,64.65,64.04,63.32,58.83,57.46,58.01,51.91,60.76,72.32,RADIO-7
2047-03-15 01:52:40,53.34,56.63,64.65,,58.9,60.18,56.45,57.99,60.71,RADIO-7
2047-03-15 00:39:00,72.86,,70.2,54.18,64.29,58.67,57.29,53.33,72.99,RADIO-7
2047-03-15 00:20:40,63.52,60.39,65.53,,,69.18,62.85,49.53,55.5,RADIO-7
2047-03-15 02:50:10,56.56,56.11,59.54,70.36,61.61,50.25,65.8,61.68,62.69,RADIO-7
2047-03-15 00:21:30,56.98,63.6,53.21,46.1,59.14,51.27,57.16,57.33,62.33,RADIO-7
2047-03-15 01:11:40,52.9,62.91,49.78,65.17,70.85,,66.44,,64.94,RADIO-7
2047-03-15 01:26:20,60.6,64.26,60.59,57.27,58.84,43.78,,49.71,55.48,RADIO-7
2047-03-15 02:19:30,54.01,56.95,52.47,58.36,53.95,49.38,51.58,49.97,57.9,RADIO-7
2047-03-15 00:10:30,52.82,54.48,52.57,61.87,51.9,74.33,68.16,53.37,61.36,RADIO-7
2047-03-15 00:25:30,61.39,64.55,62.34,57.31,65.82,54.78,67.07,60.05,62.02,RADIO-7
2047-03-15 02:38:40,52.49,60.13,62.57,65.24,68.35,51.21,56.97,,52.21,RADIO-7
2047-03-15 02:31:30,72.98,63.62,60.13,59.58,71.39,54.66,62.49,66.19,53.21,RADIO-7
2047-03-15 01:40:30,68.13,50.92,71.33,54.18,60.55,62.53,61.15,48.35,60.33,RADIO-7
2047-03-15 03:05:50,62.19,62.53,62.85,59.77,54.64,57.4,64.61,51.92,50.89,RADIO-7
2047-03-15 00:32:10,52.53,60.82,60.35,,63.4,65.75,57.93,60.82,54.26,
2047-03-15 01:06:10,68.12,72.34,49.28,58.08,57.98,52.29,53.68,65.39,55.77,RADIO-7
2047-03-15 01:00:00,63.12,59.87,63.78,55.61,61.64,65.39,50.8,,53.58,RADIO-7
2047-03-15 00:42:20,50.88,63.39,56.05,57.81,52.7,57.68,53.66,64.68,56.58,RADIO-7
2047-03-15 01:02:50,61.1,66.99,58.55,68.68,48.88,60.39,59.82,66.85,54.59,RADIO-7
2047-03-15 01:14:30,,65.91,54.98,76.89,50.65,57.23,72.27,60.73,61.26,RADIO-7
2047-03-15 00:14:40,,53.38,60.15,67.65,61.36,61.59,65.18,63.43,59.89,RADIO-7
2047-03-15 03:08:40,69.68,50.89,59.38,53.72,60.62,63.55,60.9,50.85,56.89,RADIO-7
2047-03-15 02:53:40,66.47,71.86,60.85,58.65,51.04,62.76,58.96,54.17,66.42,RADIO-7
2047-03-15 02:15:00,58.88,,67.1,55.99,,62.65,58.27,51.29,60.02,RADIO-7
2047-03-15 01:43:10,61.34,54.08,63.31,49.18,52.93,,61.41,64.13,63.13,RADIO-7
2047-03-15 00:52:50,58.14,63.78,65.31,63.29,,56.83,58.52,60.88,56.77,RADIO-7
2047-03-15 02:46:20,56.57,56.15,73.63,62.53,63.06,59.97,73.24,56.8,61.73,RADIO-7
CORRUPTED_TS_2983,52.58,,51.73,46.94,55.56,60.38,55.07,60.49,59.29,RADIO-7
2047-03-15 00:13:20,58.68,60.8,56.36,53.28,65.96,69.29,,58.07,57.61,RADIO-7
